开始节点,开始节点类型,关系,结束节点,结束节点类型,文本
生活污水处理,土壤环境试行,属于行业,水生产和供应,土壤环境试行,养殖小区 养殖场或养殖小区 库容1亿m3及以上水库； 库容1000万m3至1亿m3的水库； 水利 长度大于1000km的引 其他 跨流域调水的引水工程 水工程 化学矿采选；石棉矿采选；煤矿采 金属矿、石油、页岩油开 选、天然气开采、页岩气开采、砂 采矿业 其他 采 岩气开采、煤层气开采（含净化、 液化） 化学纤维制造；有洗毛、染整、脱 纺织、化纤、 胶工段及产生缫丝废水、精炼废水 皮革等及服 制革、毛皮鞣制 的纺织品；有湿法印花、染色、水 其他 装、鞋制造 洗工艺的服装制造；使用有机溶剂 的制鞋业 造纸和纸制 纸浆、溶解浆、纤维浆等制造；造 其他 品 纸（含制浆工艺） 设备制造、 有电镀工艺的；金属制品 金属制品、 表面处理及热处理加工 制 汽车制造及 的；使用有机涂层的（喷 有化学处理工艺的 其他 造 其他用品制 粉、喷塑和电泳除外）； 业 造a 有钝化工艺的热镀锌 石油加工、炼焦；化学原 料和化学制品制造；农药 制造；涂料、染料、颜料、 油墨及其类似产品制造； 半导体材料、日用化学品制造；化 石油、化工 其他 合成材料制造；炸药、火 学肥料制造 工及焰火产品制造；水处 理剂等制造；化学药品制 造；生物、生化制品制造 金属冶炼和 有色金属铸造及合金制造；炼铁； 制 压延加工及 有色金属冶炼（含再生有 球团；烧结炼钢；冷轧压延加工； 造 其他 非金属矿物 色金属冶炼） 铬铁合金制造；水泥制造；平板玻 业 制品 璃制造；石棉制品；含培烧的石墨、 12 HJ 964—2018 项目类别 行业类别 Ⅰ类 Ⅱ类 Ⅲ类 Ⅳ类 碳素制品 生活污水处理；燃 煤锅炉总容量 65 水力发电；火力发电（燃气发电除 t/h（不含）以上的 电力热力燃气及 外）；矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应
水力发电,土壤环境试行,属于行业,电力热力燃气,土壤环境试行,养殖小区 养殖场或养殖小区 库容1亿m3及以上水库； 库容1000万m3至1亿m3的水库； 水利 长度大于1000km的引 其他 跨流域调水的引水工程 水工程 化学矿采选；石棉矿采选；煤矿采 金属矿、石油、页岩油开 选、天然气开采、页岩气开采、砂 采矿业 其他 采 岩气开采、煤层气开采（含净化、 液化） 化学纤维制造；有洗毛、染整、脱 纺织、化纤、 胶工段及产生缫丝废水、精炼废水 皮革等及服 制革、毛皮鞣制 的纺织品；有湿法印花、染色、水 其他 装、鞋制造 洗工艺的服装制造；使用有机溶剂 的制鞋业 造纸和纸制 纸浆、溶解浆、纤维浆等制造；造 其他 品 纸（含制浆工艺） 设备制造、 有电镀工艺的；金属制品 金属制品、 表面处理及热处理加工 制 汽车制造及 的；使用有机涂层的（喷 有化学处理工艺的 其他 造 其他用品制 粉、喷塑和电泳除外）； 业 造a 有钝化工艺的热镀锌 石油加工、炼焦；化学原 料和化学制品制造；农药 制造；涂料、染料、颜料、 油墨及其类似产品制造； 半导体材料、日用化学品制造；化 石油、化工 其他 合成材料制造；炸药、火 学肥料制造 工及焰火产品制造；水处 理剂等制造；化学药品制 造；生物、生化制品制造 金属冶炼和 有色金属铸造及合金制造；炼铁； 制 压延加工及 有色金属冶炼（含再生有 球团；烧结炼钢；冷轧压延加工； 造 其他 非金属矿物 色金属冶炼） 铬铁合金制造；水泥制造；平板玻 业 制品 璃制造；石棉制品；含培烧的石墨、 12 HJ 964—2018 项目类别 行业类别 Ⅰ类 Ⅱ类 Ⅲ类 Ⅳ类 碳素制品 生活污水处理；燃 煤锅炉总容量 65 水力发电；火力发电（燃气发电除 t/h（不含）以上的 电力热力燃气及 外）；矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应
水泥制造,土壤环境试行,属于行业,非金属矿物制品,土壤环境试行,养殖小区 养殖场或养殖小区 库容1亿m3及以上水库； 库容1000万m3至1亿m3的水库； 水利 长度大于1000km的引 其他 跨流域调水的引水工程 水工程 化学矿采选；石棉矿采选；煤矿采 金属矿、石油、页岩油开 选、天然气开采、页岩气开采、砂 采矿业 其他 采 岩气开采、煤层气开采（含净化、 液化） 化学纤维制造；有洗毛、染整、脱 纺织、化纤、 胶工段及产生缫丝废水、精炼废水 皮革等及服 制革、毛皮鞣制 的纺织品；有湿法印花、染色、水 其他 装、鞋制造 洗工艺的服装制造；使用有机溶剂 的制鞋业 造纸和纸制 纸浆、溶解浆、纤维浆等制造；造 其他 品 纸（含制浆工艺） 设备制造、 有电镀工艺的；金属制品 金属制品、 表面处理及热处理加工 制 汽车制造及 的；使用有机涂层的（喷 有化学处理工艺的 其他 造 其他用品制 粉、喷塑和电泳除外）； 业 造a 有钝化工艺的热镀锌 石油加工、炼焦；化学原 料和化学制品制造；农药 制造；涂料、染料、颜料、 油墨及其类似产品制造； 半导体材料、日用化学品制造；化 石油、化工 其他 合成材料制造；炸药、火 学肥料制造 工及焰火产品制造；水处 理剂等制造；化学药品制 造；生物、生化制品制造 金属冶炼和 有色金属铸造及合金制造；炼铁； 制 压延加工及 有色金属冶炼（含再生有 球团；烧结炼钢；冷轧压延加工； 造 其他 非金属矿物 色金属冶炼） 铬铁合金制造；水泥制造；平板玻 业 制品 璃制造；石棉制品；含培烧的石墨、 12 HJ 964—2018 项目类别 行业类别 Ⅰ类 Ⅱ类 Ⅲ类 Ⅳ类 碳素制品 生活污水处理；燃 煤锅炉总容量 65 水力发电；火力发电（燃气发电除 t/h（不含）以上的 电力热力燃气及 外）；矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应
平板玻璃制造,土壤环境试行,属于行业,非金属矿物制品,土壤环境试行,养殖小区 养殖场或养殖小区 库容1亿m3及以上水库； 库容1000万m3至1亿m3的水库； 水利 长度大于1000km的引 其他 跨流域调水的引水工程 水工程 化学矿采选；石棉矿采选；煤矿采 金属矿、石油、页岩油开 选、天然气开采、页岩气开采、砂 采矿业 其他 采 岩气开采、煤层气开采（含净化、 液化） 化学纤维制造；有洗毛、染整、脱 纺织、化纤、 胶工段及产生缫丝废水、精炼废水 皮革等及服 制革、毛皮鞣制 的纺织品；有湿法印花、染色、水 其他 装、鞋制造 洗工艺的服装制造；使用有机溶剂 的制鞋业 造纸和纸制 纸浆、溶解浆、纤维浆等制造；造 其他 品 纸（含制浆工艺） 设备制造、 有电镀工艺的；金属制品 金属制品、 表面处理及热处理加工 制 汽车制造及 的；使用有机涂层的（喷 有化学处理工艺的 其他 造 其他用品制 粉、喷塑和电泳除外）； 业 造a 有钝化工艺的热镀锌 石油加工、炼焦；化学原 料和化学制品制造；农药 制造；涂料、染料、颜料、 油墨及其类似产品制造； 半导体材料、日用化学品制造；化 石油、化工 其他 合成材料制造；炸药、火 学肥料制造 工及焰火产品制造；水处 理剂等制造；化学药品制 造；生物、生化制品制造 金属冶炼和 有色金属铸造及合金制造；炼铁； 制 压延加工及 有色金属冶炼（含再生有 球团；烧结炼钢；冷轧压延加工； 造 其他 非金属矿物 色金属冶炼） 铬铁合金制造；水泥制造；平板玻 业 制品 璃制造；石棉制品；含培烧的石墨、 12 HJ 964—2018 项目类别 行业类别 Ⅰ类 Ⅱ类 Ⅲ类 Ⅳ类 碳素制品 生活污水处理；燃 煤锅炉总容量 65 水力发电；火力发电（燃气发电除 t/h（不含）以上的 电力热力燃气及 外）；矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应
石棉制品,土壤环境试行,属于行业,非金属矿物制品,土壤环境试行,养殖小区 养殖场或养殖小区 库容1亿m3及以上水库； 库容1000万m3至1亿m3的水库； 水利 长度大于1000km的引 其他 跨流域调水的引水工程 水工程 化学矿采选；石棉矿采选；煤矿采 金属矿、石油、页岩油开 选、天然气开采、页岩气开采、砂 采矿业 其他 采 岩气开采、煤层气开采（含净化、 液化） 化学纤维制造；有洗毛、染整、脱 纺织、化纤、 胶工段及产生缫丝废水、精炼废水 皮革等及服 制革、毛皮鞣制 的纺织品；有湿法印花、染色、水 其他 装、鞋制造 洗工艺的服装制造；使用有机溶剂 的制鞋业 造纸和纸制 纸浆、溶解浆、纤维浆等制造；造 其他 品 纸（含制浆工艺） 设备制造、 有电镀工艺的；金属制品 金属制品、 表面处理及热处理加工 制 汽车制造及 的；使用有机涂层的（喷 有化学处理工艺的 其他 造 其他用品制 粉、喷塑和电泳除外）； 业 造a 有钝化工艺的热镀锌 石油加工、炼焦；化学原 料和化学制品制造；农药 制造；涂料、染料、颜料、 油墨及其类似产品制造； 半导体材料、日用化学品制造；化 石油、化工 其他 合成材料制造；炸药、火 学肥料制造 工及焰火产品制造；水处 理剂等制造；化学药品制 造；生物、生化制品制造 金属冶炼和 有色金属铸造及合金制造；炼铁； 制 压延加工及 有色金属冶炼（含再生有 球团；烧结炼钢；冷轧压延加工； 造 其他 非金属矿物 色金属冶炼） 铬铁合金制造；水泥制造；平板玻 业 制品 璃制造；石棉制品；含培烧的石墨、 12 HJ 964—2018 项目类别 行业类别 Ⅰ类 Ⅱ类 Ⅲ类 Ⅳ类 碳素制品 生活污水处理；燃 煤锅炉总容量 65 水力发电；火力发电（燃气发电除 t/h（不含）以上的 电力热力燃气及 外）；矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应
燃煤锅炉工程,土壤环境试行,属于类别,电力热力燃气,土壤环境试行,养殖小区 养殖场或养殖小区 库容1亿m3及以上水库； 库容1000万m3至1亿m3的水库； 水利 长度大于1000km的引 其他 跨流域调水的引水工程 水工程 化学矿采选；石棉矿采选；煤矿采 金属矿、石油、页岩油开 选、天然气开采、页岩气开采、砂 采矿业 其他 采 岩气开采、煤层气开采（含净化、 液化） 化学纤维制造；有洗毛、染整、脱 纺织、化纤、 胶工段及产生缫丝废水、精炼废水 皮革等及服 制革、毛皮鞣制 的纺织品；有湿法印花、染色、水 其他 装、鞋制造 洗工艺的服装制造；使用有机溶剂 的制鞋业 造纸和纸制 纸浆、溶解浆、纤维浆等制造；造 其他 品 纸（含制浆工艺） 设备制造、 有电镀工艺的；金属制品 金属制品、 表面处理及热处理加工 制 汽车制造及 的；使用有机涂层的（喷 有化学处理工艺的 其他 造 其他用品制 粉、喷塑和电泳除外）； 业 造a 有钝化工艺的热镀锌 石油加工、炼焦；化学原 料和化学制品制造；农药 制造；涂料、染料、颜料、 油墨及其类似产品制造； 半导体材料、日用化学品制造；化 石油、化工 其他 合成材料制造；炸药、火 学肥料制造 工及焰火产品制造；水处 理剂等制造；化学药品制 造；生物、生化制品制造 金属冶炼和 有色金属铸造及合金制造；炼铁； 制 压延加工及 有色金属冶炼（含再生有 球团；烧结炼钢；冷轧压延加工； 造 其他 非金属矿物 色金属冶炼） 铬铁合金制造；水泥制造；平板玻 业 制品 璃制造；石棉制品；含培烧的石墨、 12 HJ 964—2018 项目类别 行业类别 Ⅰ类 Ⅱ类 Ⅲ类 Ⅳ类 碳素制品 生活污水处理；燃 煤锅炉总容量 65 水力发电；火力发电（燃气发电除 t/h（不含）以上的 电力热力燃气及 外）；矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应
矸石,土壤环境试行,属于,热力生产工程,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
油页岩,土壤环境试行,属于,热力生产工程,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
石油焦,土壤环境试行,属于,热力生产工程,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
生活垃圾及污泥发电,土壤环境试行,属于,热力生产工程,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
工业废水处理,土壤环境试行,属于,水生产和供应业,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
燃气油锅炉,土壤环境试行,属于,热力生产工程,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
油库,土壤环境试行,属于,机场的供油工程,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
加油站,土壤环境试行,涉及,危险品,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
加油站,土壤环境试行,涉及,交通运输仓储邮公路,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
化学品储罐区,土壤环境试行,属于,码头及仓储,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
石油储罐区,土壤环境试行,属于,码头及仓储,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
成品油储罐区,土壤环境试行,属于,码头及仓储,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
石油输送管线,土壤环境试行,属于,储罐区,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
成品油输送管线,土壤环境试行,属于,储罐区,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
一般工业固体废物处置及综合利用,土壤环境试行,采用方式,填埋和焚烧方式,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
城镇生活,土壤环境试行,包含,垃圾集中处置,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
废旧资源加工,土壤环境试行,属于,再生利用,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
高尔夫球场,土壤环境试行,属于,社会事业与服务,土壤环境试行,矸石、油页岩、石油焦等综 生活垃圾及污泥发电 热力生产工程；燃 其他 水生产和供应业 合利用发电；工业废水处理；燃气 油锅炉总容量 65 生产 t/h（不含）以上的 热力生产工程 油库（不含加油站的油库）；机场 的供油工程及油库；涉及危险品、 交通运输仓储邮 公路的加油站；铁 化学品、石油、成品油储罐区的码 其他 政业 路的维修场所 头及仓储；石油及成品油的输送管 线 一般工业固体废物 处置及综合利用 采取填埋和焚烧方式的一般工业固 环境和公共设施 （除采取填埋和焚 危险废物利用及处置 体废物处置及综合利用；城镇生活 其他 管理业 烧方式以外的）； 垃圾（不含餐厨废弃物）集中处置 废旧资源加工、再 生利用 社会事业与服务 高尔夫球场；加油 其他 业 站；赛车场 其他行业 全部 注1：仅切割组装的、单纯混合和分装的、编织物及其制品制造的，列入Ⅳ类。
